Status Toko,Kategori Utama,Sub Kategori,Jenis Produk,Persentase Biaya,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Sepatu Anak Perempuan,Sepatu Sneaker,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Sepatu Anak Perempuan,Flip Flop,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Sepatu Anak Perempuan,Loafers,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Sepatu Anak Perempuan,Flats,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Sepatu Anak Perempuan,Sepatu Anak Perempuan Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Sepatu Bayi,Sepatu Bayi,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Aksesoris Bayi & Anak,Gelang,"4,25",,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Aksesoris Bayi & Anak, Anting,"4,25",,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Aksesoris Bayi & Anak, Kalung,"4,25",,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Aksesoris Bayi & Anak, Cincin,"4,25",,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Aksesoris Bayi & Anak, Perhiasan Lainnya,"4,25",,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Fashion Bayi & Anak Lainnya,Fashion Bayi & Anak Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Fashion Muslim,Pakaian Muslim Wanita,Baju Olahraga Muslim,10,,,,,,,,,,,,,,,
Non-Star,Fashion Muslim,Pakaian Muslim Wanita,Baju Renang Muslim,10,,,,,,,,,,,,,,,
Non-Star,Fashion Muslim,Mukena & Perlengkapan Sholat,Set Perlengkapan Sholat Lainnya,"8,25",,,,,,,,,,,,,,,
Non-Star,Fashion Muslim,Mukena & Perlengkapan Sholat, Sajadah,"8,25",,,,,,,,,,,,,,,
Non-Star,Fashion Muslim,Mukena & Perlengkapan Sholat, Peci,"8,25",,,,,,,,,,,,,,,
Non-Star,Fashion Muslim,Mukena & Perlengkapan Sholat, Songkok & Kopiah,"8,25",,,,,,,,,,,,,,,
Non-Star,Fashion Muslim,Mukena & Perlengkapan Sholat, Mukena,"8,25",,,,,,,,,,,,,,,
Non-Star,Fashion Muslim,Mukena & Perlengkapan Sholat, Mukena Travel,"8,25",,,,,,,,,,,,,,,
Non-Star,Fashion Muslim,Mukena & Perlengkapan Sholat, Mukena & Perlengkapan Sholat Lainnya,"8,25",,,,,,,,,,,,,,,
Non-Star,Fashion Muslim,Outerwear,Rompi,"8,25",,,,,,,,,,,,,,,
Non-Star,Fashion Muslim,Outerwear, Jaket,"8,25",,,,,,,,,,,,,,,
Non-Star,Fashion Muslim,Outerwear, Mantel,"8,25",,,,,,,,,,,,,,,
Non-Star,Fashion Muslim,Outerwear, Cardigan,"8,25",,,,,,,,,,,,,,,
